"MALE","","","","",""
"OFFENSES","BLACK","","WHITE  HISPANIC","OTHER","TOTAL"
"Burglary","932","557","10","6","1,505"
"Homicide/Manslaughter","161","37","2","0","200"
"Property","1,102","943","12","12","2,069"
"Possession of Drugs","1,122","917","37","4","2,080"
"Robbery","505","78","1","1","585"
"Sale of Drugs","967","220","2","1","1,190"
"Sex Offense","180","203","9","1","393"
"Violent","432","189","5","3","629"
"Verification Pending","0","0","0","0","0"
"TOTAL","5,401","3,144","78","28","8,651"
