"COUNTY","JUN ‘10","JUN '09","JUN '08","JUN '07","JUN '06","JUN '05"
"Adams","16","23","9","18","16","33"
"Alcorn","58","37","20","21","25","46"
"Amite","13","11","12","9","9","22"
"Attala","5","4","3","3","2","2"
"Benton","5","9","3","3","1","1"
"Bolivar","11","20","20","18","15","15"
"Calhoun","9","5","5","16","4","5"
"Carroll","7","1","3","5","9","14"
"Chickasaw","24","9","17","22","28","17"
"Choctaw","6","3","2","0","2","2"
"Claiborne","2","0","0","6","11","1"
"Clarke","0","0","0","2","0","1"
"Clay","4","11","10","6","10","26"
"Coahoma","12","12","16","12","21","12"
"Copiah","9","4","11","16","18","8"
"Covington","9","4","7","6","0","1"
"DeSoto","24","23","33","21","26","27"
"Forrest","42","36","41","31","48","56"
"Franklin","7","13","6","6","0","7"
"George","9","17","13","14","28","19"
"Greene","5","3","7","6","0","6"
"Grenada","0","8","5","6","1","0"
"Hancock","15","12","19","22","26","14"
"Harrison","134","98","89","52","27","68"
"Hinds","36","32","41","16","24","50"
"Holmes","15","8","20","8","25","16"
"Humphreys","7","8","0","5","5","3"
"Issaquena","0","0","0","0","1","0"
"Itawamba","37","11","12","6","1","1"
"Jackson","39","35","31","23","14","38"
"Jasper","5","12","2","6","5","5"
"Jefferson","2","1","1","9","0","1"
"Jeff Davis","4","0","9","6","0","0"
"Jones","66","75","73","57","66","86"
"Kemper","3","0","0","2","0","1"
"Lafayette","14","34","24","28","40","13"
"Lamar","17","17","18","12","5","5"
