"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","41","4.92","Lincoln","50","6.00"
"","Amite","10","1.20","Madison","109","13.07"
"","Claiborne","3",".36","Pike","89","10.67"
"","Copiah","31","3.72","Rankin","196","23.50"
"Central","","","","","",""
"","Franklin","6",".72","Sharkey","4",".48"
"Counties","","","","","",""
"","Hinds","146","17.51","Walthall","30","3.60"
"","Holmes","12","1.44","Warren","66","7.91"
"","Humphreys","7",".84","Wilkinson","0",".00"
"","Issaquena","0",".00","Yazoo","27","3.24"
"","Jefferson","7",".84","TOTAL","834","22.22"
