"FEMALE","BLACK","WHITE","HISPANIC","OTHER","UNKNOWN","TOTAL"
"Min. Community","190","292","4","2","0","488"
"Min. Non-Community","207","265","4","3","0","479"
"Medium","396","329","6","0","0","731"
"Close","24","7","0","0","0","31"
"Death Row","0","3","0","0","0","3"
"*Unclassified","173","265","1","3","0","442"
"TOTAL","990","1,161","15","8","0","2,174"
"PERCENT","45.54","53.40",".69",".37","0","100.00"
