"MALE","","","","",""
"OFFENSES","BLACK","","WHITE  HISPANIC","OTHER","TOTAL"
"Burglary","27","16","1","0","44"
"Homicide/Manslaughter","12","8","1","0","21"
"Property","100","78","0","2","180"
"Possession of Drugs","78","54","2","1","135"
"Robbery","8","5","0","0","13"
"Sale of Drugs","64","23","0","0","87"
"Sex Offense","15","39","0","1","55"
"Violent","29","21","1","0","51"
"TOTAL","333","244","5","4","586"
