"","Northern County with highest number convictions","Desoto","13"
"","Central County with highest number convictions","Hinds","23"
"","Southern County with highest number convictions","Harrison","28"
"RECAP","","",""
"","Northern Counties with lowest number convictions","Choctaw","1"
"","","Franklin, Sharkey,",""
"","Central Counties with lowest number convictions","","1"
"","","Wilkinson, Yazoo",""
"","","Simpson, Smith,",""
"","Southern Counties with lowest number convictions","","1"
"","","Wayne",""
