"FACILITY","JUL","AUG","SEP","OCT"
"Mississippi State Penitentiary","3,975","3,894","3,927","3,938"
"Central Mississippi Correctional Facility","3,215","3,168","3,292","3,234"
"South Mississippi Correctional Institution","3,006","3,012","2,736","2,722"
"County Jails","1,532","1,491","1,553","1,558"
"Community Work Centers","1,657","1,576","1,516","1,525"
"County/Regional Facilities","2,907","2,919","2,966","3,004"
"Private Prisons","5,492","5,503","5,535","5,546"
"Restitution Centers","10","10","10","10"
"Governor's Mansion","6","6","6","5"
"*E-CODE","20","20","20","25"
"TOTAL","21,819","21,600","21,561","21,566"
"ACTUAL CAPACITY","23,966","23,737","23,795","23,796"
