"COUNTY","OFFENDERS","%"
"Clarke","4","1.39"
"Lawrence","3","1.04"
"Clay","6","2.08"
"Leake","4","1.39"
"Covington","2",".69"
"Lowndes","30","10.42"
"Forrest","22","7.64"
"Marion","11","3.82"
"George","2",".69"
"Neshoba","10","3.47"
"Greene","1",".35"
"Newton","1",".35"
"Hancock","6","2.08"
"Noxubee","0",".00"
"Harrison","76","26.39"
"Oktibbeha","12","4.17"
"Jackson","25","8.68"
"Pearl River","10","3.47"
"Jasper","2",".69"
"Perry","2",".69"
"Jeff Davis","1",".35"
"Scott","11","3.82"
"Jones","8","2.78"
"Simpson","1",".35"
"Kemper","1",".35"
"Smith","2",".69"
"Lamar","6","2.08"
"Stone","7","2.43"
"Lauderdale","18","6.25"
"Wayne","4","1.39"
"TOTAL","288","43.37"
