"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Peeping Tom","3","0","","3",".73"
"Rape","11","0","","11","2.69"
"Sexual Abuse—Vulnerable Adult","1","0","","1",".24"
"Sexual Battery","110","6","","116","28.36"
"Sexual Penetration of Incarcerated Offend","0","1","","1",".24"
"Statutory Rape","90","2","","92","22.49"
"Unlawful Touching of Child","47","3","","50","12.22"
"Video Voyeurism—Photographing or Film","1","0","","1",".24"
