"JUN '04","JUN '03","JUN '02","JUN '01","JUN '00","TOTALS"
"19","18","20","23","16","177"
"0","0","0","0","0","19"
"4","13","6","0","0","54"
"42","35","46","27","31","462"
"40","40","32","20","19","291"
"12","26","33","32","30","259"
"57","34","62","47","36","399"
"4","2","6","7","9","188"
"26","14","10","0","0","234"
"43","20","19","18","21","267"
"12","22","11","4","6","206"
"2","15","9","3","9","57"
"13","16","8","0","0","67"
"15","19","3","0","1","58"
"0","7","2","6","2","38"
"35","28","21","6","12","228"
"19","6","20","13","10","161"
"29","32","11","10","0","332"
"0","0","0","0","4","6"
"56","47","44","41","27","478"
"17","7","10","12","5","164"
"22","15","15","22","12","226"
"4","3","2","6","1","32"
"47","36","31","33","41","433"
"2","8","4","0","0","39"
"0","0","5","1","5","20"
"8","4","3","4","0","56"
"20","3","11","0","0","97"
"0","2","7","9","3","34"
"34","23","48","30","53","343"
"5","1","6","0","4","35"
"2","3","5","2","6","38"
"2","6","9","15","5","85"
"7","5","6","5","4","76"
"1","6","4","5","7","41"
"21","16","18","9","15","189"
"0","2","10","8","6","61"
