"MALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Burglary","850","548","12","4","1,414"
"Homicide/Manslaughter","114","46","0","1","161"
"Property","1,119","936","29","12","2,096"
"Possession of Drugs","1,338","865","41","7","2,251"
"Robbery","412","79","1","0","492"
"Sale of Drugs","1,488","253","8","2","1,751"
"Sex Offense","142","115","6","1","264"
"Violent","383","178","6","2","569"
"TOTAL","5,846","3,020","103","29","8,998"
