"","","TOTAL","1,709","45.54"
"","","NUMBER","","%"
"","Northern","1,192","","31.76"
"","Central","834","","22.22"
"TOTAL","Southern","1,709","","45.54"
"","Out-of-State","1","",".03"
"","Verification Pending","17","",".45"
"","TOTAL","3,753","","100.00"
