"CLASS","FEMALE","%"
"Min. Community","488","22.45"
"Min. Non-Community","479","22.03"
"Medium","731","33.62"
"Close","31","1.43"
"Death Row","3",".14"
"*Unclassified","442","20.33"
"TOTAL","2,174","100.00"
