"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","1,505","78","1,583","16.12"
"Homicide/Manslaughter","200","35","235","2.39"
"Property","2,069","439","2,508","25.53"
"Possession of Drugs","2,080","315","2,395","24.38"
"Robbery","585","31","616","6.27"
"Sale of Drugs","1,190","168","1,358","13.82"
"Sex Offense","393","16","409","4.16"
"Violent","629","90","719","7.32"
"Verification Pending","0","0","0",".00"
"TOTAL","8,651","1,172","9,823","100.00"
