"Mississippi Offenders Supervised in Other States","","","","","",""
"Month","","Parolees","","Probationers","","Total"
"JUL","","304","","962","","1,266"
"AUG","","302","","921","","1,223"
"SEP","","304","","909","","1,213"
"OCT","","281","","933","","1,214"
"NOV","","238","","933","","1,171"
"DEC","","188","","919","","1,107"
"JAN","","196","","899","","1,095"
"FEB","","166","","879","","1,045"
"MAR","","171","","874","","1,045"
"APR","","176","","883","","1,059"
"MAY","","181","","878","","1,059"
"JUN","","175","","871","","1,046"
