"MALE","BLACK","WHTIE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","114","97","2","2","215",".99"
"1 - 2 Years","1,049","671","10","8","1,738","7.99"
"3 - 5 Years","2,977","1,658","28","10","4,673","21.50"
"6 - 10 Years","3,979","1,819","63","12","5,873","27.01"
"11 - 20 Years","3,521","1,318","32","12","4,883","22.47"
"21 -30 Years","1,025","312","13","1","1,351","6.22"
"Greater Than 30 Years","624","147","5","2","778","3.58"
"Life","1,373","486","7","5","1,871","8.61"
"Death","32","24","0","1","57",".26"
"Verification Pending","161","131","3","2","297","1.37"
"TOTAL","14,854","6,663","163","56","21,735","100.00"
