"OFFENSE 
                       AVERAGE AGE AT TIME OF OFFENSE","",""
"Child Molestation","36.42",""
"Child Pornography","21.25",""
"Entice Child for Indecent Purposes","47.86",""
"Exploitation of Child","41.38",""
"Failure to Register as a Sex Offender","41.34",""
"Fondling","42.76",""
"Fondling a Child","40.26",""
"Gratification of Lust","36.50",""
"Peeping Tom","44.70",""
"Rape","32.61",""
"Sexual Abuse—Vulnerable Adult","59.82",""
"Sexual Battery","32.50",""
"Sexual Penetration of Incarcerated Offender by Law Enforce","56.30",""
"Statutory Rape","26.93",""
"Unlawful Touching of Child","37.60",""
"Video Voyeurism—Photographing or Filming","40.32",""
