"MALE","","","","",""
"OFFENSES","BLACK","","WHITE  HISPANIC","OTHER","TOTAL"
"Burglary","1,829","1,013","13","8","2,863"
"Homicide/Manslaughter","1,861","595","17","7","2,480"
"Property","1,488","1,186","13","12","2,699"
"Possession of Drugs","1,899","1,315","51","4","3,269"
"Robbery","2,561","403","9","7","2,980"
"Sale of Drugs","2,434","374","9","4","2,821"
"Sex Offense","1,310","1,186","30","6","2,532"
"Violent","1,472","591","21","7","2,091"
"TOTAL","14,854","6,663","163","55","21,735"
