"COUNTY","OFFENDERS","%"
"Alcorn","327","1.37"
"Montgomery","117",".49"
"Attala","200",".84"
"Panola","342","1.43"
"Benton","43",".18"
"Pontotoc","294","1.23"
"Bolivar","298","1.25"
"Prentiss","244","1.02"
"Calhoun","166",".69"
"Quitman","67",".28"
"Carroll","102",".43"
"Sunflower","289","1.21"
"Chickasaw","204",".85"
"Tallahatchie","123",".51"
"Choctaw","64",".27"
"Tate","209",".87"
"Coahoma","346","1.45"
"Tippah","86",".36"
"Desoto","895","3.74"
"Tishomingo","84",".35"
"Grenada","323","1.35"
"Tunica","168",".70"
"Itawamba","198",".83"
"Union","197",".82"
"Lafayette","231",".97"
"Washington","458","1.92"
"Lee","853","3.57"
"Webster","65",".27"
"Leflore","329","1.38"
"Winston","139",".58"
"Marshall","296","1.24"
"Yalobusha","102",".43"
"Monroe","320","1.34"
"Adams","260","1.09"
"Lincoln","339","1.42"
"Amite","93",".39"
"Madison","760","3.18"
"Claiborne","64",".27"
"Pike","552","2.31"
"Copiah","251","1.05"
"Rankin","918","3.84"
"Franklin","69",".29"
"Sharkey","31",".13"
"Hinds","1357","5.68"
"Walthall","168",".70"
"Holmes","146",".61"
"Warren","393","1.64"
"Humphreys","84",".35"
"Wilkinson","44",".18"
"Issaquena","8",".03"
"Yazoo","173",".72"
"Jefferson","53",".22"
"Clarke","124",".52"
"Lawrence","65",".27"
"Clay","281","1.18"
"Leake","169",".71"
"Covington","68",".28"
"Lowndes","1024","4.28"
"Forrest","842","3.52"
"Marion","246","1.03"
"George","114",".48"
"Neshoba","231",".97"
"Greene","61",".26"
"Newton","125",".52"
"Hancock","200",".84"
"Noxubee","69",".29"
"Harrison","1930","8.07"
"Oktibbeha","532","2.23"
"Jackson","801","3.35"
"Pearl River","376","1.57"
"Jasper","76",".32"
"Perry","88",".37"
"Jeff Davis","63",".26"
"Scott","298","1.25"
"Jones","454","1.90"
"Simpson","102",".43"
"Kemper","45",".19"
"Smith","48",".20"
"Lamar","243","1.02"
"Stone","116",".49"
"Lauderdale","911","3.81"
"Wayne","183",".77"
"Verification Pending","82",".34"
"TOTAL","23,909","100.00"
