"","Northern County with highest number convictions","Desoto","9"
"","Central County with highest number convictions","Madison","7"
"","Southern County with highest number convictions","Forrest","6"
"","","Carroll, Itawamba,",""
"RECAP","","",""
"","","Sunflower, Talla-",""
"","Northern Counties with lowest number convictions","","1"
"","","hatchie, Union,",""
"","","Winston",""
"","","Claiborne, Jefferson,",""
"","Central Counties with lowest number convictions","","1"
"","","Lincoln, Pike",""
"","Southern Counties with lowest number convictions","Neshoba, Newton","1"
