"FACILITY","MAR","APR","MAY","JUN"
"Mississippi State Penitentiary","3,874","3,718","3,592","3,477"
"Central Mississippi Correctional Facility","3,319","3,294","3,275","3,273"
"South Mississippi Correctional Institution","3,099","3,105","3,136","3,159"
"County Jails","1,443","1,499","1,526","1,527"
"Community Work Centers","1,744","1,640","1,579","1,593"
"County/Regional Facilities","2,525","2,525","2,525","2,525"
"Private Prisons","5,202","5,237","5,305","5,295"
"Restitution Centers","11","9","8","7"
"Governor's Mansion","6","6","6","6"
"*E-CODE","21","13","21","22"
"TOTAL","21,243","21,045","20,973","20,883"
"ACTUAL CAPACITY","23,779","23,551","23,543","23,585"
