"COUNTY","JUN ‘10","JUN '09","JUN '08","JUN '07","JUN '06","JUN '05"
"Lauderdale","11","6","2","7","5","13"
"Lawrence","2","2","0","0","0","2"
"Leake","12","8","5","4","2","9"
"Lee","33","10","4","9","10","18"
"Leflore","5","5","3","0","1","3"
"Lincoln","9","1","0","0","3","2"
"Lowndes","40","31","15","14","10","15"
"Madison","15","8","4","6","1","8"
"Marion","5","3","5","2","1","10"
"Marshall","16","4","0","2","1","4"
"Monroe","18","3","9","8","11","11"
"Montgomery","1","2","0","0","1","2"
"Neshoba","16","8","8","3","8","8"
"Newton","5","11","3","3","2","7"
"Noxubee","3","0","4","3","0","3"
"Oktibbeha","27","11","6","4","9","7"
"Panola","25","7","3","2","3","4"
"Pearl River","2","3","0","0","1","7"
"Perry","0","0","0","0","0","0"
"Pike","15","2","0","2","2","7"
"Pontotoc","18","6","3","6","12","8"
"Prentiss","5","3","0","4","1","4"
"Quitman","0","0","0","0","0","1"
"Rankin","26","12","8","8","12","15"
"Scott","16","5","7","4","1","10"
"Sharkey","2","0","0","0","0","1"
"Simpson","3","2","2","0","0","3"
"Smith","2","1","0","1","2","3"
"Stone","0","0","0","1","0","3"
"Sunflower","5","3","2","2","3","8"
"Tallahatchie","3","4","3","6","3","2"
"Tate","11","3","1","2","0","1"
"Tippah","3","2","0","2","0","3"
"Tishomingo","1","1","1","1","0","1"
"Tunica","3","1","1","0","0","0"
"Union","9","3","2","4","5","6"
"Walthall","4","1","1","0","0","1"
