"COUNTY","OFFENDERS","%"
"Clarke","0",".00"
"Lawrence","0",".00"
"Clay","0",".00"
"Leake","0",".00"
"Covington","0",".00"
"Lowndes","3","10.34"
"Forrest","6","20.69"
"Marion","0",".00"
"George","0",".00"
"Neshoba","1","3.45"
"Greene","0",".00"
"Newton","1","3.45"
"Hancock","0",".00"
"Noxubee","0",".00"
"Harrison","4","13.79"
"Oktibbeha","4","13.79"
"Jackson","2","6.90"
"Pearl River","0",".00"
"Jasper","0",".00"
"Perry","0",".00"
"Jeff Davis","0",".00"
"Scott","0",".00"
"Jones","4","13.79"
"Simpson","0",".00"
"Kemper","0",".00"
"Smith","0",".00"
"Lamar","0",".00"
"Stone","0",".00"
"Lauderdale","2","6.90"
"Wayne","2","6.90"
"TOTAL","29","28.72"
