"RACE","MALE","FEMALE","","TOTAL","%"
"White","6,663","1,161","","7,824","32.73"
"Black","14,854","990","","15,844","66.27"
"Hispanic","163","15","","178",".74"
"Other","52","8","","60",".25"
"Unknown Race","3","0","","3",".01"
