"CLASS","MALE","%"
"Min. Community","3,084","14.19"
"Min. Non-Community","3,638","16.74"
"Medium","10,926","50.27"
"Close","2,407","11.07"
"Death Row","57",".26"
"*Unclassified","1,623","7.47"
"TOTAL","21,735","100.00"
