"COUNTY","OFFENDERS","%"
"Clarke","35",".81"
"Lawrence","30",".69"
"Clay","164","3.78"
"Leake","59","1.36"
"Covington","29",".67"
"Lowndes","410","9.44"
"Forrest","336","7.74"
"Marion","117","2.69"
"George","68","1.57"
"Neshoba","107","2.46"
"Greene","33",".76"
"Newton","46","1.06"
"Hancock","87","2.00"
"Noxubee","24",".55"
"Harrison","919","21.16"
"Oktibbeha","220","5.07"
"Jackson","446","10.27"
"Pearl River","135","3.11"
"Jasper","29",".67"
"Perry","30",".69"
"Jeff Davis","27",".62"
"Scott","113","2.60"
"Jones","173","3.98"
"Simpson","42",".97"
"Kemper","23",".53"
"Smith","26",".60"
"Lamar","119","2.74"
"Stone","45","1.04"
"Lauderdale","384","8.84"
"TOTAL","4,343","42.09"
