"MALE","BLACK","WHITE","HISPANIC","OTHER","UNKNOWN","TOTAL"
"*Y","0","0","0","0","0","0"
"*0","3","3","0","0","0","6"
"1","10,758","4,242","112","35","2","15,149"
"2","2,211","1,158","26","8","1","3,404"
"3","1,180","657","13","2","0","1,852"
"4","150","117","3","1","0","271"
"5","46","26","0","0","0","72"
"Verification Pending","506","460","9","5","0","981"
"TOTAL","14,854","6,663","163","51","3","21,735"
