"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","13","40","0","0","53","2.44"
"1 - 2 Years","167","238","2","1","408","18.77"
"3 - 5 Years","266","348","5","5","624","28.70"
"6 - 10 Years","241","279","4","0","524","24.10"
"11 - 20 Years","195","140","4","1","340","15.64"
"21 -30 Years","26","24","0","0","50","2.30"
"Greater Than 30 Years","12","8","0","0","20",".92"
"Life","51","38","0","0","89","4.09"
"Death","0","3","0","0","3",".14"
"Verification Pending","19","43","0","1","63","2.90"
"TOTAL","990","1,161","15","8","2,174","100.00"
