"MALE","BLACK","WHITE","HISPANIC","OTHER","UNKNOWN","TOTAL"
"14","0","0","0","0","0","0"
"15","4","1","0","0","0","5"
"16","10","1","0","1","0","12"
"17","47","7","0","0","0","54"
"18 - 19","404","99","1","0","0","504"
"20 - 29","5,490","2,022","62","22","1","7,597"
"30 - 39","4,617","1,909","58","13","3","6,600"
"40 - 49","2,705","1,606","25","10","0","4,346"
"50 - 59","1,332","736","13","3","0","2,084"
"60 - 69","203","221","3","2","0","429"
"70 - 79","32","53","1","0","0","86"
"80+","6","4","0","0","0","10"
"Verification Pending","4","4","0","0","0","8"
"TOTAL","14,854","6,663","163","51","4","21,735"
