"CLASS","MALE AND FEMALE","%"
"Min. Community","3,572","14.94"
"Min. Non-Community","4,117","17.22"
"Medium","11,657","48.75"
"Close","2,438","10.20"
"Death Row","60",".25"
"*Unclassified","2,065","8.64"
"TOTAL","23,909","100.00"
