"FIELD OFFICER CASELOADS","","","",""
"","Probation","Parole","ERS","ISP"
"REGION I - CASELOAD","6,032","2,678","563","227"
"93 Field Officers (22 ISP)","","","",""
"","","","",""
"REGION II - CASELOAD","5,459","1,218","388","332"
"65 Field Officers (14 ISP)","","","",""
"","","","",""
"REGION III - CASELOAD","7,294","2,355","605","752"
"94 Field Officers (22 ISP)","","","",""
"TOTAL","18,785","6,251","1,556","1,311"
