"RACE","MALE","FEMALE","","TOTAL","%"
"White","1,137","323","","1,460","38.90"
"Black","2,089","154","","2,243","59.77"
"Hispanic","39","5","","44","1.17"
"Other","4","1","","5",".13"
"Unknown Race","1","0","","1",".03"
