"INVESTIGATIONS","","","",""
"","","REGION I REGION II REGION III","","TOTAL"
"Pre-Sentence Investigations","2,636","1,225","2,806","6,667"
"Post-Sentence Investigations","2,261","3,024","3,707","8,992"
"Pre-Release Investigations","1,955","1,741","2,259","5,955"
"Compact Investigations","549","521","967","2,037"
"Restoration of Rights Investigations","21","3","11","35"
"Residence & Employment Investigations","3,507","2,966","4,832","11,305"
"TOTAL","10,929","9,480","14,582","34,991"
