"JUN '04","JUN '03","JUN '02","JUN '01","JUN '00","TOTAL"
"1","1","0","5","0","35"
"8","5","11","12","9","68"
"0","2","0","7","0","14"
"1","3","4","3","8","49"
"0","0","0","1","3","13"
"8","7","8","10","10","63"
"0","3","13","6","10","48"
"5","2","4","5","0","32"
"6","6","5","5","9","74"
"2","1","0","2","2","16"
"0","1","6","2","1","14"
"0","0","1","2","2","8"
"6","5","1","4","14","87"
"3","3","14","5","15","51"
"4","11","5","11","9","72"
"3","1","2","2","0","14"
"9","17","14","13","15","134"
"6","12","9","22","18","108"
"0","1","0","0","0","10"
"7","10","2","2","0","32"
"0","0","0","2","1","7"
"3","1","2","8","2","42"
"1","2","7","8","5","45"
"29","28","27","56","26","256"
"11","21","16","30","28","209"
"2","3","3","5","9","32"
"0","1","4","4","2","14"
"0","1","1","0","0","3"
"1","1","0","3","1","22"
"14","11","7","14","6","75"
"0","1","0","0","2","10"
"0","1","3","4","0","14"
"1","0","0","0","0","6"
"10","11","8","10","23","109"
"0","1","2","3","0","9"
"6","4","10","8","5","52"
"4","0","2","2","0","21"
