"COUNTY","OFENDERS","%"
"Alcorn","115","3.23"
"Montgomery","45","1.26"
"Attala","79","2.22"
"Panola","151","4.24"
"Benton","31",".87"
"Pontotoc","156","4.38"
"Bolivar","97","2.72"
"Prentiss","125","3.51"
"Calhoun","92","2.58"
"Quitman","36","1.01"
"Carroll","28",".79"
"Sunflower","95","2.67"
"Chickasaw","117","3.29"
"Tallahatchie","53","1.49"
"Choctaw","21",".59"
"Tate","65","1.83"
"Coahoma","115","3.23"
"Tippah","65","1.83"
"Desoto","389","10.93"
"Tishomingo","31",".87"
"Grenada","126","3.54"
"Tunica","91","2.56"
"Itawamba","70","1.97"
"Union","101","2.84"
"Lafayette","84","2.36"
"Washington","175","4.92"
"Lee","446","12.53"
"Webster","36","1.01"
"Leflore","119","3.34"
"Winston","47","1.32"
"Marshall","171","4.80"
"Yalobusha","34",".96"
"Monroe","154","4.33"
"TOTAL","3,560","34.50"
