"","","","Drug Offenders","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Alcorn","62","5.20","Montgomery","8",".67"
"","Attala","6",".50","Panola","43","3.61"
"","Benton","6",".50","Pontotoc","49","4.11"
"","Bolivar","15","1.26","Prentiss","47","3.94"
"","Calhoun","43","3.61","Quitman","5",".42"
"","Carroll","7",".59","Sunflower","13","1.09"
"","Chickasaw","38","3.19","Tallahatchie","16","1.34"
"Northern","Choctaw","17","1.43","Tate","29","2.43"
"Counties","","","","","",""
"","Coahoma","36","3.02","Tippah","26","2.18"
"","Desoto","158","13.26","Tishomingo","3",".25"
"","Grenada","39","3.27","Tunica","21","1.76"
"","Itawamba","31","2.60","Union","70","5.87"
"","Lafayette","20","1.68","Washington","23","1.93"
"","Lee","178","14.93","Webster","5",".42"
"","Leflore","29","2.43","Winston","19","1.59"
"","Marshall","38","3.19","Yalobusha","17","1.43"
"","Monroe","75","6.29","TOTAL","1,192","31.76"
