"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","2,863","150","","3,013","12.60"
"Homicide/Manslaughter","2,480","220","","2,700","11.29"
"Property","2,699","615","","3,314","13.86"
"Possession of Drugs","3,269","468","","3,737","15.63"
"Robbery","2,980","123","","3,103","12.98"
"Sale of Drugs","2,821","343","","3,164","13.23"
"Sex Offense","2,532","42","","2,574","10.77"
"Violent","2,091","213","","2,304","9.64"
