"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","8","5.56","Lincoln","12","8.33"
"","Amite","1",".69","Madison","24","16.67"
"","Claiborne","1",".69","Pike","8","5.56"
"","Copiah","4","2.78","Rankin","26","18.06"
"Central","","","","","",""
"","Franklin","2","1.39","Sharkey","1",".69"
"Counties","","","","","",""
"","Hinds","28","19.44","Walthall","4","2.78"
"","Holmes","4","2.78","Warren","12","8.33"
"","Humphreys","3","2.08","Wilkinson","1",".69"
"","Issaquena","0",".00","Yazoo","5","3.47"
"","Jefferson","0",".00","TOTAL","144","21.69"
