"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"*Y","1","0","0","0","1"
"*0","1","0","0","0","1"
"1","528","553","10","3","1,094"
"2","186","251","4","1","442"
"3","112","144","0","1","257"
"4","13","14","0","0","27"
"5","9","4","0","0","13"
"Verification Pending","140","195","1","3","339"
"TOTAL","990","1,161","15","8","2,174"
