"Offenders Supervised in Mississippi for Other States","","","","","",""
"Month","","Parolees","","Probationers","","Total"
"JUL","","508","","1,399","","1,907"
"AUG","","505","","1,408","","1,913"
"SEP","","530","","1,484","","2,014"
"OCT","","544","","1,532","","2,076"
"NOV","","556","","1,557","","2,113"
"DEC","","585","","1,582","","2,167"
"JAN","","587","","1,589","","2,176"
"FEB","","580","","1,585","","2,165"
"MAR","","609","","1,608","","2,217"
"APR","","618","","1,611","","2,229"
"MAY","","648","","1,659","","2,307"
"JUN","","630","","1,658","","2,288"
