"","","","Youthful Offenders","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Alcorn","0",".00","Montgomery","0",".00"
"","Attala","4","11.11","Panola","0",".00"
"","Benton","0",".00","Pontotoc","0",".00"
"","Bolivar","0",".00","Prentiss","0",".00"
"","Calhoun","0",".00","Quitman","0",".00"
"","Carroll","1","2.78","Sunflower","1","2.78"
"","Chickasaw","0",".00","Tallahatchie","1","2.78"
"0Northern","Choctaw","0",".00","Tate","1","2.78"
"Counties","","","","","",""
"","Coahoma","4","11.11","Tippah","0",".00"
"","Desoto","9","25.00","Tishomingo","0",".00"
"","Grenada","2","5.56","Tunica","0",".00"
"","Itawamba","1","2.78","Union","1","2.78"
"","Lafayette","0",".00","Washington","0",".00"
"","Lee","4","11.11","Webster","0",".00"
"","Leflore","0",".00","Winston","1","2.78"
"","Marshall","3","8.33","Yalobusha","0",".00"
"","Monroe","3","8.33","TOTAL","36","35.64"
