"OFFENSE 
                 AVERAGE SENTENCE LENGTH IN YEARS","",""
"Child Molestation","9.25",""
"Child Pornography","5.00",""
"Entice Child for Indecent Purposes","6.00",""
"Exploitation of Child","11.79",""
"Failure to Register as a Sex Offender","3.26",""
"Fondling","9.25",""
"Fondling a Child","6.29",""
"Gratification of Lust","9.06",""
"Peeping Tom","3.00",""
"Rape","19.36",""
"Sexual Abuse—Vulnerable Adult","8.00",""
"Sexual Battery","10.77",""
"Sexual Penetration of Incarcerated  Offender","2.00",""
"Statutory Rape","8.41",""
"Unlawful Touching of Child","7.36",""
"Video Voyeurism—Photographing or Filming","2.00",""
