COUNTY,OFFENDERS,%
Adams,100,4.21
Alcorn,157,4.81
Amite,24,1.01
Attala,57,1.75
Benton,20,0.61
Bolivar,97,2.97
Calhoun,85,2.6
Carroll,30,0.92
Chickasaw,83,2.54
Choctaw,25,0.77
Claiborne,27,1.14
Clarke,36,0.87
Clay,90,2.17
Coahoma,119,3.65
Copiah,99,4.16
Covington,25,0.6
Desoto,431,13.21
Forrest,343,8.26
Franklin,24,1.01
George,78,1.88
Greene,31,0.75
Grenada,93,2.85
Hancock,95,2.29
Harrison,915,22.04
Hinds,476,20.03
Holmes,63,2.65
Humphreys,42,1.77
Issaquena,3,0.13
Itawamba,63,1.93
Jackson,464,11.18
Jasper,35,0.84
Jeff Davis,16,0.39
Jefferson,24,1.01
Jones,165,3.97
Kemper,16,0.39
Lafayette,72,2.21
Lamar,120,2.89
Lauderdale,332,8
Lawrence,35,0.84
Leake,58,1.4
Lee,393,12.04
Leflore,113,3.46
Lincoln,146,6.14
Lowndes,350,8.43
Madison,322,13.55
Marion,98,2.36
Marshall,123,3.77
Monroe,159,4.87
Montgomery,32,0.98
Neshoba,123,2.96
Newton,38,0.92
Noxubee,25,0.6
Oktibbeha,182,4.38
Panola,119,3.65
Pearl River,156,3.76
Perry,37,0.89
Pike,228,9.59
Pontotoc,120,3.68
Prentiss,123,3.77
Quitman,19,0.58
Rankin,451,18.97
Scott,112,2.7
Sharkey,10,0.42
Simpson,39,0.94
Smith,16,0.39
Stone,66,1.59
Sunflower,97,2.97
Tallahatchie,34,1.04
Tate,76,2.33
Tippah,55,1.69
Tishomingo,25,0.77
Tunica,83,2.54
Union,116,3.56
Walthall,76,3.2
Warren,176,7.4
Washington,136,4.17
Wayne,56,1.35
Webster,19,0.58
Wilkinson,12,0.5
Winston,52,1.59
Yalobusha,37,1.13
Yazoo,74,3.11
Out-of-State,,2
Verification Pending,29,0.3
TOTAL,"9,823",100
