"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","41","6"
"Habitual Lifers","251","49"
"Habitual","1,752","140"
"Life","1,564","239"
"Armed Robbery (Mandatory)","2,109","12"
