"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","42","6"
"Habitual Lifers","299","62"
"Habitual","1,904","141"
"Life","1,567","242"
"Armed Robbery (Mandatory)","2,142","14"
