"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","42","6"
"Habitual Lifers","300","62"
"Habitual","1,909","141"
"Life","1,564","239"
"Armed Robbery (Mandatory)","2,131","14"
