"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","38","6"
"Habitual Lifers","309","62"
"Habitual","2,009","143"
"Life","1,528","224"
"Armed Robbery (Mandatory)","2,105","11"
