"TYPE OF OFFENDER","OFFENDERS"
"Armed Robbery (Mandatory)","1,905"
"Lifers","1,799"
"Habitual Offenders","1,459"
"Habitual Lifers","299"
"Death Row","68"
"TOTAL","5,530"
