"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","37","6"
"Habitual Lifers","308","63"
"Habitual","2,062","152"
"Life","1,524","220"
"Armed Robbery (Mandatory)","2,096","14"
