"TYPE OF OFFENDER","OFFENDERS"
"Armed Robbery (Mandatory)","1,881"
"Lifers","1,786"
"Habitual Offenders","1,458"
"Habitual Lifers","299"
"Death Row","69"
"TOTAL","5,493"
