"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","41","6"
"Habitual Lifers","291","58"
"Habitual","1,864","142"
"Life","1,564","239"
"Armed Robbery (Mandatory)","2,157","13"
