"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","42","6"
"Habitual Lifers","302","61"
"Habitual","1,925","142"
"Life","1,561","236"
"Armed Robbery (Mandatory)","2,140","14"
