"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","39","6"
"Habitual Lifers","307","62"
"Habitual","1,992","146"
"Life","1,550","227"
"Armed Robbery (Mandatory)","2,111","13"
