"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","9,313","38.17%"
"Non-Violent","10,152","41.60%"
"Sex","1,076","4.41%"
"Violent","3,860","15.82%"
"TOTAL","24,401","100.00%"
