"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","10,154","37.28%"
"Property","12,986","47.68%"
"Violent","3,094","11.36%"
"Sex","1,001","3.68%"
"TOTAL","27,235","100.00%"
