"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","3,913","62.52%","385","36.56%","4,298","58.78%"
"White","2,301","36.76%","657","62.39%","2,958","40.45%"
"Hispanic","24",".38%","8",".76%","32",".44%"
"Native American","7",".11%","1",".09%","8",".11%"
"Asian","10",".16%","1",".09%","11",".15%"
"Data Unavailable","4",".06%","1",".09%","5",".07%"
"TOTAL","6,259","100.00%","1,053","100.00%","7,312","100.00%"
