"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,278","63.32%","388","35.43%","4,666","59.43%"
"White","2,424","35.88%","692","63.20%","3,116","39.69%"
"Hispanic","23",".34%","12","1.10%","35",".45%"
"Native American","11",".16%","2",".18%","13",".17%"
"Asian","16",".24%","1",".09%","17",".22%"
"Data Unavailable","4",".06%","0",".00%","4",".05%"
"TOTAL","6,756","100.00%","1,095","100.00%","7,851","100.00%"
