"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,055","66.69%","129","55.13%","1,184","65.20%"
"White","514","32.49%","103","44.02%","617","33.98%"
"Hispanic","11","0.70%","2","0.85%","13","0.72%"
"Native American","1","0.06%","0","0.00%","11","0.06%"
"Asian","1","0.06%","0","0.00%","1","0.06%"
"TOTAL","1,582","100.00%","234","100.00%","1,816","100.00%"
