"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,154","73.69%","114","57.29%","1,268","71.84%"
"White","398","25.42%","83","41.71%","481","27.25%"
"Hispanic","12","0.77%","2","1.01%","14","0.79%"
"Native American","1","0.06%","0","0.00%","1","0.06%"
"Asian","1","0.06%","0","0.00%","11","0.06%"
"TOTAL","1,566","100.00%","199","100.00%","1,765","100.00%"
