"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,006","62.34%","385","35.78%","4,391","58.53%"
"White","2,369","36.87%","682","63.38%","3,051","40.67%"
"Hispanic","28",".44%","7",".65%","35",".47%"
"Native American","9",".14%","0",".00%","9",".12%"
"Asian","11",".17%","1",".09%","12",".16%"
"Data Unavailable","3",".05%","1",".09%","4",".05%"
"TOTAL","6,426","100.00%","1,076","100.00%","7,502","100.00%"
