"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,097","73.04%","97","57.74%","1,194","71.50%"
"White","392","26.10%","70","41.67%","462","27.66%"
"Hispanic","11","0.73%","1","0.60%","12","0.72%"
"Native American","1","0.07%","0","0.00%","1","0.06%"
"Asian","1","0.07%","0","0.00%","11","0.06%"
"TOTAL","1,502","100.00%","168","100.00%","1,670","100.00%"
