"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,525","60.22%","385","31.66%","4,910","56.24%"
"White","2,926","817.00%","821","67.52%","3,747","42.92%"
"Hispanic","35",".47%","6",".49%","41",".47%"
"Native American","9",".12%","3",".25%","12",".14%"
"Asian","16",".21%","1",".08%","17",".19%"
"Data Unavailable","3",".04%","0",".00%","3",".03%"
"TOTAL","7,514","100.00%","1,216","100.00%","8,730","100.00%"
