"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,105","64.28%","127","46.69%","1,232","61.88%"
"White","594","34.55%","139","51.10%","733","36.82%"
"Hispanic","13","0.76%","4","1.47%","17","0.85%"
"Native American","3","0.17%","0","0.00%","43","0.15%"
"Asian","2","0.12%","2","0.74%","4","0.20%"
"Data Unavailable","2","0.12%","0","0.00%","2","0.10%"
"TOTAL","1,719","100.00%","272","100.00%","1,991","100.00%"
