"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,164","73.21%","117","55.45%","1,281","71.13%"
"White","413","25.97%","93","44.08%","506","28.10%"
"Hispanic","11","0.69%","1","0.47%","12","0.67%"
"Native American","1","0.06%","0","0.00%","1","0.06%"
"Asian","1","0.06%","0","0.00%","11","0.06%"
"TOTAL","1,590","100.00%","211","100.00%","1,801","100.00%"
